"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.950382037883012,0.950382037883012,0.994232519192125,0.994232519192125,0.0428868301347207,0.00223905443087111,0,0.0425586661715557,0
"Right.I.V",0.943204656170061,0.944293688727234,0.993353878456029,0.993487954728898,0.0648905767785339,0.0038280618750789,7.93431566403285e-05,0.0707764644052115,0
"Left.VI",0.923561285598623,0.923561285598623,0.99088766729098,0.99088766729098,0.0674469124823004,0.00558225573211159,0,0.0696769235880932,0
"Right.VI",0.949568576724953,0.958189655893481,0.994133526658118,0.995175089620844,0.0644210298958035,0.00281099405642017,0.000610395726395683,0.0560554013678498,0
"Left.Crus.I",0.89910876824794,0.902096906785838,0.98768548384701,0.988084973705094,0.0557689491914079,0.00605251230779186,0.000205460226947789,0.0522842995136216,0
"Right.Crus.I",0.896648051519556,0.915964077755704,0.987354751432413,0.989908883020071,0.0550445965807382,0.00505011446470858,0.00129458934666777,0.0491173889780564,0
"Left.Crus.II",0.893717595327775,0.910662403970849,0.986958799332652,0.989217336208375,0.0900318709957616,0.00883228613116815,0.00187445590523511,0.0834886419327736,0
"Right.Crus.II",0.793150687648695,0.805765886216002,0.971838866548008,0.973914746358285,0.0483707226104982,0.0116600176305095,0.000954799283510357,0.0511151018659753,0
"Left.VIIB",0.859143130822071,0.859143130822071,0.982109199266032,0.982109199266032,0.0575089850899068,0.00942862172640948,0,0.0591505304922608,0
"Right.VIIB",0.953255728029064,0.953255728029064,0.994581031341195,0.994581031341195,0.0716654224552515,0.00351421753854722,0,0.06173123373125,0
"Left.VIIIA",0.851292673740695,0.851292673740695,0.9809602015027,0.9809602015027,0.0470248859529318,0.00821450163194912,0,0.047281638397848,0
"Right.VIIIA",0.806793479652917,0.818802944772128,0.97408136505486,0.976001736348733,0.0500865653174815,0.0110839099931814,0.000910548620056982,0.0558522658820094,0
"Left.VIIIB",0.892819682770038,0.892819682770038,0.986837020465862,0.986837020465862,0.0578323617199231,0.00694260105922846,0,0.0522614509685339,0
"Right.VIIIB",0.897053192431034,0.897053192431034,0.987409313877772,0.987409313877772,0.0422504426493121,0.00484870710658192,0,0.0514451623448017,0
"Left.IX",0.954473728281748,0.954473728281748,0.994728186693492,0.994728186693492,0.0479777861811263,0.00228843357905122,0,0.0403449822711699,0
"Right.IX",0.928404474059467,0.928404474059467,0.991504269287866,0.991504269287866,0.0567616174634197,0.00437727086531527,0,0.0490761132290702,0
"Left.X",0.6301750280707,0.6301750280707,0.938784891220166,0.938784891220166,0.0243883015290356,0.0143125362424977,0,0.0443506085441778,0
"Right.X",0.8158109972338,0.837880744015085,0.975527895173983,0.978953876558365,0.0616371717488967,0.0119260079627342,0.00199006970262322,0.071158536290426,0
