"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.951107823722076,0.951107823722076,0.994320715917108,0.994320715917108,0.0411556027774456,0.0021156244703619,0,0.0406135447594427,0
"Right.I.V",0.939285350849821,0.940859807363018,0.992869082396265,0.993064262271122,0.0495734768022311,0.00311606994456051,8.83196996289257e-05,0.0511386341398088,0
"Left.VI",0.924875587992034,0.924875587992034,0.991055557812373,0.991055557812373,0.0617206719370995,0.00501335449676841,0,0.0681413023148862,0
"Right.VI",0.936938169664073,0.94838395445005,0.992577036010972,0.993989098060396,0.0489797313605503,0.00266573473018797,0.000630909177558631,0.0460644274458239,0
"Left.Crus.I",0.876529139257982,0.87886759559148,0.984589706891417,0.984916785223908,0.0475344153064964,0.0065515648171713,0.000144293779988518,0.0468452775643136,0
"Right.Crus.I",0.886869997674264,0.900780896399194,0.986024637232826,0.987909320602834,0.0470157248518509,0.00517868228954477,0.00081868945127895,0.0439306319717131,0
"Left.Crus.II",0.874000933010539,0.899963299470039,0.984234365701522,0.987799965547341,0.0742093381758603,0.0082488445295455,0.0024494362375656,0.0728679359145868,0
"Right.Crus.II",0.822474761204618,0.822474761204618,0.976579159933284,0.976579159933284,0.0387164343491184,0.00835666281487641,0,0.043859742879737,0
"Left.VIIB",0.852998888621667,0.852998888621667,0.981211493043527,0.981211493043527,0.0535501216827759,0.00922853183845644,0,0.055723043124891,0
"Right.VIIB",0.937456068062449,0.937456068062449,0.992641586106754,0.992641586106754,0.0598962330496502,0.00399607624378134,0,0.0542925182860447,0
"Left.VIIIA",0.840444554431012,0.847778559826619,0.97934171299161,0.980439864931785,0.0448971241435784,0.00806142691102764,0.00046213435155277,0.0484665484386096,0
"Right.VIIIA",0.801690513523481,0.827170297927943,0.973250308007025,0.977311083105596,0.0519125716151117,0.0108466591565352,0.00199464960914074,0.0633658660452878,0
"Left.VIIIB",0.881961626083084,0.881961626083084,0.985347210501945,0.985347210501945,0.0484913006280693,0.00648989038295687,0,0.0457126611027513,0
"Right.VIIIB",0.921901348380496,0.921901350675606,0.990675022562976,0.990675022857455,0.0551749172080956,0.00467412972915125,1.48996533892525e-10,0.0553030461059442,0
"Left.IX",0.955241063659202,0.955241063659202,0.994820723604371,0.994820723604371,0.0466163748196037,0.00218426471847511,0,0.0418509865864768,0
"Right.IX",0.939296015695466,0.940490742820597,0.992870406422495,0.993018562387756,0.0593925206515005,0.00375804314179978,8.03236575802669e-05,0.0543248636304281,0
"Left.X",0.51434526232855,0.518746408840637,0.90504842096142,0.90655217944709,0.0217879117021386,0.0202131727021526,0.000359394631716769,0.0486397638566858,0
"Right.X",0.793687778012948,0.808395882239401,0.971928408796119,0.974340453846215,0.0491657829389539,0.011653159882422,0.00112705697975976,0.0646750573888692,0
