"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.940381190867446,0.940381190877243,0.993700084999791,0.993700085000884,0.0694009255410407,0.0043999184297957,7.68836121417476e-13,0.0665312077957065,0
"Right.I.V",0.95797326202987,0.959825148605168,0.995632115042036,0.995831803866286,0.0661254556368724,0.00276777531562646,0.000133179551650044,0.0706726171530806,0
"Left.VI",0.639956032358115,0.670030856116271,0.946735940133451,0.953064564768633,0.0172267943142189,0.00848365492400174,0.001208266178433,0.0541360472601223,0
"Right.VI",0.699183907194797,0.714235794667532,0.958750813522747,0.96152941490667,0.0238309616615381,0.00953471650729565,0.000718289463016551,0.0682980061320749,0
"Left.Crus.I",0.896155679651961,0.897765031878548,0.988544983392426,0.988740500029348,0.0613693161783755,0.0069885658945784,0.00012275981976887,0.0484091677995474,0
"Right.Crus.I",0.871615131246077,0.877140199864027,0.985484273440296,0.986186622013659,0.0687278217587205,0.00962660980122233,0.000496679779147806,0.0608736633364365,0
"Left.Crus.II",0.794751964454467,0.794751964454467,0.9748247412904,0.9748247412904,0.0451722777734735,0.0116659306158327,0,0.0552632292358805,0
"Right.Crus.II",0.872742968459511,0.872742968459511,0.985628285266311,0.985628285266311,0.0496574887558992,0.00724069381387873,0,0.0461956844864761,0
"Left.VIIB",0.796949218814198,0.796949218814198,0.975154516538136,0.975154516538136,0.0394413076902053,0.0100490572654077,0,0.049621213008077,0
"Right.VIIB",0.81397188521156,0.821629963569638,0.977656285312546,0.978751988655061,0.0489024201487646,0.010616368499478,0.000559969644562973,0.0490767531326153,0
"Left.VIIIA",0.837517737498819,0.848192125676521,0.980968758488836,0.982416882436485,0.047868504959738,0.00856741741051262,0.00071929096611824,0.0452324002593076,0
"Right.VIIIA",0.795465144296091,0.799885620874768,0.974931954214922,0.975592743384002,0.0476046512680971,0.0119096718122901,0.000330726837196,0.0481593064232897,0
"Left.VIIIB",0.860507551039003,0.870306182948409,0.984048102821154,0.985316720823987,0.058348671322718,0.00869517194293056,0.000763430769618222,0.0524733163419612,0
"Right.VIIIB",0.855919716591301,0.861360812864948,0.983445284348607,0.984159589859279,0.0460208331489609,0.00740722215795783,0.000339643061146429,0.046663874964866,0
"Left.IX",0.957371247498652,0.959069540520254,0.995567050763601,0.99575041015351,0.0698594315759043,0.00298140907680639,0.000129213292848871,0.0509683155133936,0
"Right.IX",0.963428425420376,0.96703180574215,0.996218372476324,0.996602368166543,0.0574975771765641,0.00196021607816498,0.0002223818983717,0.0408945586936422,0
"Left.X",0.557929147617095,0.557929147617095,0.926582917907703,0.926582917907703,0.0184572463497246,0.0146244566381103,0,0.0401459425348895,0
"Right.X",0.650597653654872,0.65331634455752,0.94903237992914,0.949608813923903,0.0192138453900163,0.0101958663829679,0.000122896102372233,0.0498330409053438,0
