"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.940468402733001,0.940598679608298,0.993709822384828,0.993724365059229,0.0524918372522249,0.00331499980827848,7.73055248988879e-06,0.0653492616177599,0
"Right.I.V",0.954515228419664,0.956487447811985,0.99525737744888,0.995471398888204,0.0577951944384394,0.00262922050882301,0.000124848927896053,0.0785753209865949,0
"Left.VI",0.619035164585727,0.634352941701577,0.942026101390789,0.945500456033048,0.0146606257478555,0.00845052387262247,0.000571876137302233,0.0489405255550021,0
"Right.VI",0.69379948810812,0.711212536412606,0.957731605060115,0.960979480462734,0.0215799581627068,0.00876253027479636,0.000761538781588442,0.0632957360664326,0
"Left.Crus.I",0.921228461509018,0.922733248703632,0.99152178856861,0.99169585391942,0.0704301830467051,0.00589759981541021,0.000124678160785509,0.0633014429527116,0
"Right.Crus.I",0.866922400758832,0.876307832959388,0.984881499727535,0.98608131411884,0.0598175367496758,0.00844333517208416,0.000739002458365092,0.0653669688771812,0
"Left.Crus.II",0.831355719946676,0.831355719946676,0.980117864393989,0.980117864393989,0.0530131968534583,0.010753967528184,0,0.0538929978732424,0
"Right.Crus.II",0.860986986026773,0.860986986026773,0.984110769800963,0.984110769800963,0.0478089163034168,0.00771911963594423,0,0.0565435791681344,0
"Left.VIIB",0.76167550887731,0.76167550887731,0.969659824741604,0.969659824741604,0.0339084177833358,0.0106097758412904,0,0.0460912953794546,0
"Right.VIIB",0.876723285762482,0.882802718639428,0.986133897810798,0.986898340921121,0.0627014677423091,0.00832399062844027,0.000492509453930829,0.0568190337037221,0
"Left.VIIIA",0.772460520174062,0.782054621604817,0.971386400909759,0.972887279182348,0.040939880529167,0.0114092513577544,0.000650185825706577,0.0443901937694798,0
"Right.VIIIA",0.751311678160257,0.751585532651579,0.967959988878173,0.968005430781819,0.0377326578806656,0.0124714190226584,1.82994785550518e-05,0.0438490674148995,0
"Left.VIIIB",0.853255669491768,0.859558040320027,0.983092609637764,0.983923809504344,0.050635549438611,0.00827327005164537,0.000435116037029975,0.0509485323754302,0
"Right.VIIIB",0.836698448628837,0.849950445431292,0.980856263125267,0.982652336245935,0.0397427178355274,0.00701614681258825,0.000740587395397606,0.0438792418374255,0
"Left.IX",0.935975984361043,0.935975984361043,0.993206124355652,0.993206124355652,0.0604754267025908,0.00413672971280607,0,0.0471769293576487,0
"Right.IX",0.960057992928995,0.964860545176075,0.995856862591603,0.996371294869609,0.0525844396808485,0.00191508353393119,0.000272626038851476,0.040121192903976,0
"Left.X",0.5703556613133,0.570355661373426,0.929947780602358,0.929947780618342,0.0188796774201174,0.0142219093593578,3.48952742885186e-12,0.0371568471071428,0
"Right.X",0.685529689445443,0.685529728632544,0.956139397338472,0.956139404961596,0.0213143635953935,0.00977745154427983,1.77730902916968e-09,0.0454164172700313,0
