"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.985294474739157,0.985294474739157,0.998344411595818,0.998344411595818,0.0762917135004971,0.00113865422859658,0,0.0647848580123919,0
"Right.I.V",0.982611105272168,0.984231352252387,0.99803756767097,0.99822302086535,0.0679035860824923,0.00108790248073706,0.000113761436651399,0.0822145434770184,0
"Left.VI",0.97598299465896,0.97598299465896,0.99727323157379,0.99727323157379,0.0788502091692066,0.0019403472244111,0,0.0727268376289747,0
"Right.VI",0.969279660163732,0.969279688095716,0.996490803384796,0.996490806665051,0.0506008472535132,0.00160374124139849,1.50439321114738e-09,0.0409447297272119,0
"Left.Crus.I",0.975785998619897,0.975785998619897,0.99725037366363,0.99725037366363,0.050666027189583,0.00125727080940707,0,0.0487231808575139,0
"Right.Crus.I",0.974238530780804,0.974238530780804,0.997070532407455,0.997070532407455,0.0519437346043892,0.00137353109927669,0,0.0489946120169511,0
"Left.Crus.II",0.841276055418325,0.845442522265738,0.97946705502899,0.980091881514347,0.0802548955569927,0.014671599672883,0.000470128791576943,0.0948631063313974,0
"Right.Crus.II",0.866010240982083,0.886773170800095,0.983099347327994,0.986011337265648,0.0460071496902628,0.00587438124143268,0.00124387973098821,0.0641660564841268,0
"Left.VIIB",0.591305904857432,0.591305904857432,0.92868024464633,0.92868024464633,0.0335929436186758,0.0232185026102863,2.36168331100183e-18,0.0519760900836968,0
"Right.VIIB",0.848002572661477,0.848002572661477,0.980473146781776,0.980473146781776,0.0300301469210964,0.00538265474865093,0,0.0379194000385159,0
"Left.VIIIA",0.597083917069305,0.597083917069305,0.930251167245561,0.930251167245561,0.0338327386086814,0.0228305504893473,0,0.0606867174342296,0
"Right.VIIIA",0.947720351176812,0.949806072178497,0.993908052461455,0.994162443681611,0.0707625304628173,0.00373955215760094,0.000163962458121423,0.0631448489426937,0
"Left.VIIIB",0.948094816973287,0.948379903655217,0.993953798140001,0.993988603642452,0.0593617420202227,0.0032310457343812,1.88212928224341e-05,0.0516286849094881,0
"Right.VIIIB",0.942996130274538,0.942996130274538,0.993328174593806,0.993328174593806,0.0457768132961867,0.00276719640495547,0,0.0494976871430695,0
"Left.IX",0.985531388660618,0.986292532702434,0.99837143151838,0.998458161679509,0.0764137887598341,0.00106199679687174,5.98359760430067e-05,0.0625433540646713,0
"Right.IX",0.980154311080871,0.980154311080871,0.997755326030023,0.997755326030023,0.0668333405925665,0.00135320905272928,0,0.0562620107304547,0
"Left.X",0.774875588415384,0.774875588415416,0.968728397780375,0.96872839778038,0.0232095406552037,0.00674306206217717,1.24586080258246e-15,0.0423934522680396,0
"Right.X",0.90775718459385,0.90775718459385,0.988835369922599,0.988835369922599,0.0529757814094138,0.00538319641912998,0,0.0540037248710105,0
