"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.980474339128197,0.980474339128197,0.998012507519069,0.998012507519069,0.0564223005967455,0.00112362217254821,0,0.0505135566278439,0
"Right.I.V",0.980753766036809,0.980851972828195,0.998041451387336,0.998051620420198,0.0582630440653089,0.00113740134268968,5.94800382360108e-06,0.0664149929159064,0
"Left.VI",0.975592581826463,0.975592581826463,0.997504439001873,0.997504439001873,0.0573400683048101,0.0014345363538892,0,0.0646237287867483,0
"Right.VI",0.970775858530692,0.971763169877198,0.996998645033133,0.997102687150039,0.0426379422180563,0.00123894418775849,4.46242532888709e-05,0.0380162896929209,0
"Left.Crus.I",0.956730895770705,0.956730895770705,0.995497762574692,0.995497762574692,0.0384784563249763,0.00174022637365189,0,0.0379034571266958,0
"Right.Crus.I",0.973749219899485,0.973749219899485,0.997311401973944,0.997311401973944,0.039648753550163,0.0010688693653714,0,0.0384914211919995,0
"Left.Crus.II",0.913287761461184,0.913287761461184,0.99059478350773,0.99059478350773,0.0457617416792093,0.00434485517915036,0,0.0553219510192749,0
"Right.Crus.II",0.875511226705918,0.8768209565788,0.985980364125782,0.986146253545412,0.0621239153124151,0.00872739685832908,0.000105990736900179,0.0651077253696435,0
"Left.VIIB",0.723849568243019,0.723849568243019,0.963251705062248,0.963251705062248,0.0333897817131471,0.0127382857445613,3.8222678021771e-19,0.0404376319560937,0
"Right.VIIB",0.810287868245358,0.812077089508526,0.977122694703615,0.977382376232791,0.0267976899959099,0.0062012584316686,7.28659807244305e-05,0.0317375838235427,0
"Left.VIIIA",0.645450670963963,0.654117815485599,0.947929738421569,0.949777965130182,0.0208239366247327,0.0110112100900431,0.000427483973379965,0.0317333815251939,0
"Right.VIIIA",0.928566640380156,0.932196195170185,0.992365865340125,0.992778967379176,0.0685243620638507,0.00498415730029522,0.000287328003143521,0.0615226454800335,0
"Left.VIIIB",0.888709229126941,0.894699792007316,0.987632136784521,0.988367571802987,0.0349022485299776,0.00410776224880238,0.000262956560903456,0.0329027271751997,0
"Right.VIIIB",0.882272013018057,0.886046948092955,0.986831981413108,0.987302464142946,0.0389088473453355,0.00500400335527273,0.000187887814531729,0.0436978209510768,0
"Left.IX",0.97002548541271,0.971854106174117,0.996919444192789,0.997112260406619,0.069407764189524,0.00201012019104468,0.000134631747390125,0.0594191285833998,0
"Right.IX",0.980110378757877,0.982269896208324,0.99797478519594,0.998198238748231,0.0682148041263981,0.00123128639283212,0.000153013423377522,0.057805433600256,0
"Left.X",0.78850876192439,0.788508761942941,0.973878938030176,0.973878938033006,0.019231506942796,0.00515821181620449,5.73797707212652e-13,0.030280038150421,0
"Right.X",0.888842483191086,0.892689605046152,0.987648591623285,0.988121768569025,0.0360380914684823,0.00433214614240501,0.000174731998463291,0.037066425663094,0
