"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.983425306550635,0.983760276406712,0.998130828781221,0.998169157488452,0.0799982058197414,0.00132059484574519,2.76984401090836e-05,0.0967554994119464,0
"Right.I.V",0.987135557730358,0.988808789356027,0.998554083382617,0.998744038165379,0.0761697067986507,0.000862078940488093,0.000130571752857138,0.0638507254264753,0
"Left.VI",0.987648731266801,0.987648731266801,0.998612402505603,0.998612402505603,0.0864360362485925,0.00108094576355049,0,0.067622913604182,0
"Right.VI",0.991887135675105,0.992184465181557,0.999092022812136,0.999125532190294,0.10318342823351,0.00081278603359078,3.11740539309377e-05,0.0862807758545429,0
"Left.Crus.I",0.986077884815389,0.986077884815389,0.998433715204074,0.998433715204074,0.0489009412750979,0.000690416596448954,0,0.0470559600070435,0
"Right.Crus.I",0.986091386855766,0.986091386855766,0.998435253244156,0.998435253244156,0.0523074186654074,0.000737785219999161,0,0.0578148464488022,0
"Left.Crus.II",0.95618414085432,0.956667847981817,0.994934274203391,0.994992437824255,0.0655307787291994,0.00296820852896226,3.46517443109884e-05,0.0604369957975015,0
"Right.Crus.II",0.96829602847704,0.969106116590822,0.996375184454031,0.996470419671741,0.0766932492246866,0.00244488426938586,6.62079151468533e-05,0.0728513742778626,0
"Left.VIIB",0.955058924123047,0.957669654477112,0.994798770364144,0.995112735294205,0.0641342756258629,0.00283482517631325,0.000183065421234778,0.0612030974866035,0
"Right.VIIB",0.933138593419205,0.934651177047094,0.992101530107136,0.992291234090943,0.0515023716096566,0.00360093631359609,8.93204524976912e-05,0.0607901947849768,0
"Left.VIIIA",0.951355196893587,0.951355196893587,0.994350749263951,0.994350749263951,0.0628316005735494,0.00321271261116887,0,0.0540929972155883,0
"Right.VIIIA",0.957883335248743,0.960571085860156,0.995138365396769,0.995459888042638,0.0744292203447839,0.00305512354230625,0.000217415404354366,0.0609380789879645,0
"Left.VIIIB",0.871327923738971,0.87177662271273,0.983856711079351,0.983920246727608,0.0519269844123776,0.00763756808823323,3.06733582745438e-05,0.0483766022881589,0
"Right.VIIIB",0.932234388957777,0.932234388957777,0.991987868093632,0.991987868093632,0.0732634134992446,0.0053256348849841,0,0.0675785244158038,0
"Left.IX",0.98763339214529,0.98763339214529,0.998610660085567,0.998610660085567,0.0821457741756189,0.00102858467952857,0,0.0680965664471961,0
"Right.IX",0.967408892051452,0.971134581975309,0.996270729281672,0.996708271673553,0.0866199172446338,0.00257463812630868,0.000343506514090237,0.0704771819049122,0
"Left.X",0.624363485559433,0.624363485559433,0.937340736224935,0.937340736224935,0.0170062974585522,0.0102315180958191,0,0.0329754864387616,0
"Right.X",0.494263457192283,0.494263457192283,0.897915714036174,0.897915714036174,0.0129482254712692,0.0132487860270581,0,0.0296984694436975,0
