"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.978991285064533,0.981190264931416,0.997621277085734,0.997874491434149,0.0684523659150822,0.00131225401810369,0.000156703125956552,0.0853583090160537,0
"Right.I.V",0.980712809668159,0.981507777761801,0.997819597665506,0.997910970147494,0.0491997645741602,0.000926954427857063,4.0632835477128e-05,0.049045518953635,0
"Left.VI",0.984429065098456,0.984429065098456,0.998245613961339,0.998245613961339,0.054958855893203,0.000869296527008587,0,0.0530396827161426,0
"Right.VI",0.987122828009546,0.987122828009546,0.998552636041392,0.998552636041392,0.0645410755796871,0.000841948445630027,0,0.0681016567662159,0
"Left.Crus.I",0.988752782555984,0.988752782555984,0.998737689186935,0.998737689186935,0.0414410873388975,0.000471398845737925,0,0.03685538776418,0
"Right.Crus.I",0.988109618999273,0.988424321216701,0.998664733823406,0.998700441673188,0.0433007685036957,0.000507105882068722,1.39523337744463e-05,0.0409668040396628,0
"Left.Crus.II",0.961242766276362,0.961250327720321,0.995539989433428,0.995540890611168,0.0670206348241205,0.00270171833550343,5.48458396394859e-07,0.0618307449435846,0
"Right.Crus.II",0.971930463076228,0.972847323507259,0.996801354111698,0.996908418421289,0.0568460399540778,0.00158660264100013,5.51218218908821e-05,0.05548604810755,0
"Left.VIIB",0.945912320080644,0.946248592702152,0.993686728723589,0.993727948901867,0.0706932655027709,0.00401571271710248,2.65591042878097e-05,0.0699153884056696,0
"Right.VIIB",0.942317540346764,0.942317540346764,0.993244458950509,0.993244458950509,0.0491136506537504,0.0030064134975303,0,0.0487429719548209,0
"Left.VIIIA",0.960450538833801,0.960450538833801,0.995445501689016,0.995445501689016,0.0513680683134688,0.00211523586150825,0,0.0467297367158587,0
"Right.VIIIA",0.940127033519206,0.94422810314792,0.992973494640004,0.99347988788736,0.0461499897409262,0.00272590114504594,0.000213208879802658,0.0441904023481248,0
"Left.VIIIB",0.842954017113422,0.844298764194671,0.979719338404769,0.97992089209787,0.0372400602014086,0.00686762037411585,7.03640691074736e-05,0.0396722835502647,0
"Right.VIIIB",0.916938743170986,0.916938743170986,0.990035251907393,0.990035251907393,0.0489176130053198,0.00443122122121906,0,0.049328479856943,0
"Left.IX",0,0,0,0,0,0,0,0,1
"Right.IX",0.976242954237942,0.977089946424214,0.997303382774138,0.997401521802948,0.0619480627378456,0.00145251053030899,5.50065840989244e-05,0.0552263776630801,0
"Left.X",0.735959531006943,0.735959531006943,0.961664796734951,0.961664796734951,0.0215336392487254,0.00772563159632089,0,0.0314249127148039,0
"Right.X",0.620237998239293,0.620237998239293,0.936301892372313,0.936301892372313,0.0151714181027015,0.00928922143529766,0,0.027305562331787,0
