"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.933130829750194,0.93417010255616,0.992884878958792,0.993002425611713,0.0935393967866022,0.00659161418308231,0.000111520735803586,0.0777408980853393,0
"Right.I.V",0.946726136080144,0.946726136080144,0.99440432048594,0.99440432048594,0.0918264703817459,0.00516722914993412,0,0.0684233325360037,0
"Left.VI",0.921170862597918,0.921170862597918,0.991515115765119,0.991515115765119,0.0591083679315971,0.00505819478934879,0,0.0463295657968742,0
"Right.VI",0.885497438679882,0.885497438679882,0.987234198606851,0.987234198606851,0.0434532810864323,0.0056188891856956,0,0.0383600046387197,0
"Left.Crus.I",0.761930384322173,0.761930384322173,0.969701119983271,0.969701119983271,0.0465046964490291,0.0145306650563406,0,0.0506375841863462,0
"Right.Crus.I",0.954277026095451,0.954277026095451,0.995231474561788,0.995231474561788,0.0896826440023474,0.00429703019068605,0,0.0691920842997625,0
"Left.Crus.II",0.894596977375277,0.894596977375277,0.988355023597425,0.988355023597425,0.0544308508528933,0.00641314060859357,0,0.0485391337575879,0
"Right.Crus.II",0.946972882337096,0.946972882342248,0.9944315366275,0.994431536628068,0.0606354976892416,0.00339537248653938,3.48350169965198e-13,0.0483962133137748,0
"Left.VIIB",0.925389493635912,0.925389493635912,0.992001879955777,0.992001879955777,0.0679787732688724,0.0054808604706243,0,0.0531906185771863,0
"Right.VIIB",0.873774126119343,0.876693075914185,0.985759663595639,0.986130075653832,0.0477363715329253,0.00671412299521672,0.000181898565179336,0.0425400475165921,0
"Left.VIIIA",0.967197566733527,0.967742125467372,0.996619970809591,0.996677761015233,0.0888778667796302,0.0029625775295462,5.17086868173867e-05,0.0668383771948171,0
"Right.VIIIA",0.823679964001499,0.838780008315957,0.979042252720925,0.981141699250602,0.0581119658295668,0.0111695683670337,0.00127009795340897,0.0554570994666099,0
"Left.VIIIB",0.953911762534569,0.954943640941096,0.995191732120825,0.995303935273476,0.0716246081044377,0.00337940787482125,8.11343643422485e-05,0.0534472937860224,0
"Right.VIIIB",0.954067835073981,0.957606670233863,0.995208716902501,0.995592503412746,0.0591328220799996,0.00261781512635822,0.000229045900152419,0.0473408038376863,0
"Left.IX",0.918106367920204,0.926544132810742,0.991159018731518,0.992134417409986,0.0582633875218436,0.00461908667298746,0.000577915099525152,0.0522182740063995,0
"Right.IX",0.863111835437101,0.863231523354067,0.984387766561613,0.984403333214044,0.0545864035368633,0.00864854799128415,8.76880528933079e-06,0.0452668917456835,0
"Left.X",0.838375843751064,0.838375843778913,0.981086375656607,0.981086375660421,0.0477967866234779,0.00921438202856442,1.89378843791776e-12,0.0564859589990247,0
"Right.X",0.28277667488202,0.282776675346624,0.79767973671046,0.797679737080162,0.00991533372287756,0.0251488515064151,5.76105909891748e-11,0.0324503219915768,0
