"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.955420335478419,0.955420335478419,0.994842323971318,0.994842323971318,0.0585625040894564,0.00273251121930996,0,0.0538803367964371,0
"Right.I.V",0.943624834397031,0.945937894473533,0.993405641087925,0.993689864533059,0.0498089863900041,0.00284667597536245,0.000129072175698853,0.0554023995777434,0
"Left.VI",0.953853154167893,0.953853154167893,0.994653252199589,0.994653252199589,0.0633323181495938,0.00306397972168871,0,0.0578781109731657,0
"Right.VI",0.931849490798713,0.933784363858462,0.991939425883886,0.992182587125173,0.05127216175254,0.00363576317852208,0.000114009682641766,0.0544542969900434,0
"Left.Crus.I",0.914398635448907,0.914398635448907,0.989705421766053,0.989705421766053,0.0576811571718323,0.00539981750997574,0,0.0563511974267847,0
"Right.Crus.I",0.910594566489322,0.914326202799565,0.989208441652296,0.989695992825729,0.053978745078136,0.00505789295417579,0.000241933424845046,0.051604920499128,0
"Left.Crus.II",0.951940294314444,0.951940294314444,0.994421730487372,0.994421730487372,0.0568596163368775,0.0028706174566462,0,0.0573950874062674,0
"Right.Crus.II",0.953978852622705,0.953978852622705,0.994668437283846,0.994668437283846,0.0669189118771073,0.00322825301353149,0,0.0667428926057606,0
"Left.VIIB",0.936090038361514,0.938322468933018,0.992471190081902,0.992749432454758,0.0567851692857933,0.0037325857141106,0.000144325525156791,0.0608449440397397,0
"Right.VIIB",0.908143494169569,0.908143494169569,0.988886284147748,0.988886284147748,0.0454094803549801,0.00459305850205786,0,0.0515367435346682,0
"Left.VIIIA",0.881759591975395,0.891014712473921,0.985319185314068,0.986591571191338,0.0454467650454967,0.00555886304263306,0.000535365011455225,0.0461681375423504,0
"Right.VIIIA",0,0,0,0,0,0,0,0,1
"Left.VIIIB",0.779473629089427,0.785340022623362,0.969522830210569,0.970524752833831,0.0384992393167479,0.0105231436100059,0.000368947170869078,0.04764979632842,0
"Right.VIIIB",0.919515272617229,0.919515272617229,0.990368172503943,0.990368172503943,0.0605806315830281,0.00530259340201934,0,0.05953572928419,0
"Left.IX",0.898932752976263,0.899461810871545,0.987661879316541,0.987732804182944,0.061558664338637,0.00688077755271904,4.02793501087162e-05,0.0640673701237429,0
"Right.IX",0.952171353425273,0.952171353425273,0.994449740236008,0.994449740236008,0.0569811403966492,0.00286222728257083,0,0.0551919516938817,0
"Left.X",0.833747791040913,0.837800342615612,0.97832430351957,0.978941680558642,0.0360835718236672,0.00698584458527614,0.000209345119909122,0.0372622932634289,0
"Right.X",0.853086959091004,0.862420925431341,0.9812244402781,0.982583532637239,0.0438305890596992,0.00699214467415274,0.000556071899752342,0.0445334089433684,0
